generation,entity_id,alpha,theta,max_field_sizes,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
1,12,8.06,2.26,16,3.755,2.468,7.733,1.366,3.322,3.093,3.775,4.224,2.468,4.953,2.138,22.484,4.749,3.015,2.621,4.044,5.164,2.138,0.0,0.0,0.0,0.0,33.675,8.75,155.25,38.472,0.03,1.0,1.375,1.3,1.48,0.054,1.37,1.335,1.405,1.48,1.3,68.75,65.0,74.0,2.718,68.5,66.75,70.25,74.0,65.0,0.009150996485810022
1,13,13.44,2.5,84,5.306,4.046,12.489,1.802,4.678,4.47,5.455,6.084,4.046,4.793,2.989,22.079,4.028,3.753,3.36,4.203,5.206,2.989,0.0,0.0,0.0,0.0,22.5,13.5,90.25,15.986,0.026,1.0,2.748,2.52,2.9,0.099,2.76,2.695,2.805,2.9,2.58,137.4,126.0,145.0,4.964,138.0,134.75,140.25,145.0,129.0,0.0013169908968365764
1,14,10.44,4.36,55,6.056,4.809,8.843,1.094,5.627,5.264,6.72,8.843,4.809,4.845,3.285,7.568,1.005,4.623,4.108,5.379,6.307,3.285,0.0,0.0,0.0,0.0,23.35,13.75,37.5,6.02,0.028,1.0,1.554,1.38,1.68,0.086,1.54,1.495,1.625,1.68,1.38,77.7,69.0,84.0,4.302,77.0,74.75,81.25,84.0,69.0,0.0005157229971420213
1,15,11.98,4.56,74,7.219,4.973,9.92,1.177,7.0,6.342,8.003,9.92,4.973,5.556,3.242,8.039,1.161,5.215,4.922,6.344,8.039,3.242,0.0,0.0,0.0,0.0,24.6,13.75,33.0,4.978,0.027,1.0,1.653,1.54,1.82,0.07,1.64,1.62,1.68,1.74,1.54,82.65,77.0,91.0,3.497,82.0,81.0,84.0,87.0,77.0,0.00012046321099578285
1,16,0.22,4.42,49,12.497,7.246,19.556,2.691,12.385,11.159,13.975,15.684,7.246,32.365,22.741,41.334,4.428,32.147,31.027,34.568,36.065,27.215,0.0,0.0,0.0,0.0,176.95,133.5,193.5,13.11,0.012,0.411,166.099,154.28,178.92,5.836,166.43,161.27,169.8,178.92,154.28,8304.95,7714.0,8946.0,291.82,8321.5,8063.5,8490.0,8946.0,7714.0,1.643591078101697e-07
1,17,0.86,4.42,49,1.338,0.52,4.643,0.884,1.022,0.893,1.514,2.184,0.52,6.404,0.703,20.452,4.635,5.647,3.168,8.101,13.192,0.703,0.0,0.0,0.0,0.0,78.138,3.75,174.0,47.507,0.022,0.772,23.808,22.16,25.64,0.883,23.74,23.125,24.275,25.64,22.16,1190.4,1108.0,1282.0,44.137,1187.0,1156.25,1213.75,1282.0,1108.0,0.1877832595306418
1,18,2.9,1.02,76,3.31,0.567,6.352,1.655,2.956,1.976,4.856,6.352,0.567,15.498,2.404,25.385,5.795,15.504,11.74,20.443,25.385,2.404,0.0,0.0,0.0,0.0,138.575,34.0,197.0,36.057,0.026,0.984,29.702,29.08,30.66,0.383,29.66,29.475,29.94,30.26,29.08,1485.1,1454.0,1533.0,19.131,1483.0,1473.75,1497.0,1513.0,1454.0,0.015953137709897973
1,19,3.78,2.98,33,1.764,1.473,2.234,0.194,1.738,1.667,1.813,2.029,1.473,1.946,1.263,4.432,0.722,1.732,1.541,2.077,2.459,1.263,0.0,0.0,0.0,0.0,13.938,6.0,61.25,12.426,0.029,0.999,4.28,3.88,4.52,0.179,4.27,4.175,4.44,4.52,3.88,214.0,194.0,226.0,8.967,213.5,208.75,222.0,226.0,194.0,0.11024626222739092
2,0,0.86,4.42,49,1.338,0.52,4.643,0.884,1.022,0.893,1.514,2.184,0.52,6.404,0.703,20.452,4.635,5.647,3.168,8.101,13.192,0.703,0.0,0.0,0.0,0.0,78.138,3.75,174.0,47.507,0.022,0.772,23.808,22.16,25.64,0.883,23.74,23.125,24.275,25.64,22.16,1190.4,1108.0,1282.0,44.137,1187.0,1156.25,1213.75,1282.0,1108.0,0.1877832595306418
2,1,0.86,5.72,49,1.634,0.622,5.776,1.393,1.109,0.871,1.773,2.169,0.622,7.017,0.776,25.474,6.587,5.328,2.732,6.433,6.694,0.776,0.0,0.0,0.0,0.0,75.175,4.5,188.5,55.289,0.022,0.764,20.384,18.58,22.04,0.903,20.48,19.89,21.155,22.04,18.58,1019.2,929.0,1102.0,45.148,1024.0,994.5,1057.75,1102.0,929.0,0.1297097770998795
