generation,entity_id,field_ratio_threshold,J1,J0,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
20,0,0.12,0.14,-0.8,48.658,46.89,49.686,0.817,48.862,47.955,49.333,49.686,46.89,28.618,26.493,30.61,0.957,28.629,27.926,29.141,30.61,26.493,0.477,0.021,3.037,0.748,101.582,95.763,106.155,2.845,0.001,0.019,113.852,113.16,114.58,0.359,113.89,113.68,114.1,114.58,113.16,35.957,0.006,35.958,35.953,35.961,35.967,35.944,5692.6,5658.0,5729.0,17.943,5694.5,5684.0,5705.0,5729.0,5658.0,3.845764729205675e-27
20,1,0.51,0.24,-0.38,49.191,48.038,50.841,0.645,49.243,48.688,49.574,50.841,48.038,28.509,27.576,29.682,0.551,28.474,28.181,28.843,29.682,27.576,0.413,0.003,1.997,0.586,101.739,98.828,105.525,1.747,0.001,0.02,113.956,113.0,114.78,0.42,113.93,113.695,114.27,114.78,113.0,35.959,0.004,35.958,35.957,35.963,35.967,35.95,5697.8,5650.0,5739.0,21.023,5696.5,5684.75,5713.5,5739.0,5650.0,1.97653267493952e-27
20,2,0.24,0.96,-0.62,48.852,46.987,49.978,0.789,49.048,48.391,49.392,49.978,46.987,28.212,26.476,30.074,0.674,28.208,27.814,28.511,28.86,27.578,0.288,0.028,2.015,0.466,101.054,94.418,107.827,3.36,0.001,0.019,113.986,113.58,114.9,0.34,113.87,113.74,114.235,114.9,113.58,35.96,0.005,35.96,35.957,35.962,35.969,35.951,5699.3,5679.0,5745.0,17.0,5693.5,5687.0,5711.75,5745.0,5679.0,3.0167453912752225e-27
20,3,0.55,0.6,-0.36,49.309,48.365,50.503,0.503,49.344,49.159,49.57,50.02,48.884,28.247,27.11,29.087,0.593,28.346,27.764,28.729,29.087,27.11,0.143,0.0,0.69,0.142,101.649,97.35,106.455,2.367,0.001,0.019,113.899,113.08,114.62,0.424,113.9,113.61,114.235,114.62,113.08,35.956,0.006,35.956,35.954,35.959,35.962,35.946,5694.95,5654.0,5731.0,21.181,5695.0,5680.5,5711.75,5731.0,5654.0,1.7057979406561863e-27
20,4,0.08,0.66,-0.64,48.923,47.56,50.187,0.732,48.972,48.514,49.467,50.187,47.56,28.453,27.568,29.605,0.492,28.407,28.147,28.629,29.335,27.568,0.407,0.009,1.435,0.485,102.472,99.052,107.825,2.214,0.001,0.018,114.101,113.38,115.06,0.444,114.02,113.775,114.305,115.06,113.38,35.957,0.004,35.959,35.954,35.96,35.964,35.947,5705.05,5669.0,5753.0,22.182,5701.0,5688.75,5715.25,5753.0,5669.0,2.761296820228888e-27
20,5,0.41,0.42,-0.32,49.217,47.962,50.245,0.548,49.396,48.865,49.567,50.245,47.962,28.769,27.406,30.014,0.56,28.781,28.546,28.915,29.467,28.465,0.18,0.009,1.228,0.277,102.05,96.436,107.228,2.508,0.001,0.02,113.999,113.3,114.76,0.34,113.95,113.855,114.25,114.76,113.3,35.957,0.005,35.957,35.953,35.962,35.964,35.95,5699.95,5665.0,5738.0,17.016,5697.5,5692.75,5712.5,5738.0,5665.0,1.9119404612810855e-27
20,6,0.35,0.54,-0.64,48.991,46.58,50.298,0.917,49.217,48.685,49.502,50.298,47.981,28.423,27.039,29.732,0.762,28.615,27.768,29.055,29.732,27.039,0.561,0.006,3.655,0.98,101.301,98.006,104.868,2.433,0.001,0.019,113.779,112.84,114.68,0.397,113.73,113.535,113.97,114.38,113.3,35.956,0.005,35.957,35.953,35.96,35.967,35.948,5688.95,5642.0,5734.0,19.868,5686.5,5676.75,5698.5,5719.0,5665.0,2.5373677203507688e-27
20,7,0.61,0.46,-0.22,49.091,48.102,50.39,0.558,49.087,48.713,49.335,49.868,48.102,28.633,27.148,29.881,0.651,28.642,28.437,28.895,29.571,28.353,0.294,0.006,2.357,0.618,101.219,94.284,108.899,3.284,0.001,0.02,113.944,113.32,114.52,0.379,114.03,113.575,114.225,114.52,113.32,35.955,0.004,35.955,35.951,35.957,35.962,35.949,5697.2,5666.0,5726.0,18.965,5701.5,5678.75,5711.25,5726.0,5666.0,2.2383698792608438e-27
20,8,0.74,1.0,-0.26,49.052,46.529,50.348,1.013,49.48,48.326,49.653,50.348,46.529,28.321,27.374,28.863,0.417,28.369,28.009,28.641,28.863,27.374,0.134,0.009,0.503,0.115,102.138,97.762,110.655,3.408,0.001,0.021,113.955,113.32,114.52,0.317,113.89,113.755,114.14,114.52,113.32,35.956,0.007,35.955,35.952,35.959,35.971,35.946,5697.75,5666.0,5726.0,15.874,5694.5,5687.75,5707.0,5726.0,5666.0,2.350579143376925e-27
20,9,0.42,1.0,-0.44,49.004,44.811,50.147,1.151,49.382,48.832,49.61,50.147,47.745,28.589,27.721,29.601,0.546,28.693,27.986,29.023,29.601,27.721,0.23,0.028,1.324,0.333,103.208,96.053,113.838,4.15,0.001,0.02,113.909,113.26,114.64,0.4,113.84,113.575,114.19,114.64,113.26,35.956,0.005,35.955,35.951,35.959,35.968,35.947,5695.45,5663.0,5732.0,20.004,5692.0,5678.75,5709.5,5732.0,5663.0,2.4968108276893063e-27
20,10,0.44,0.36,-0.58,49.06,47.244,50.052,0.695,49.121,48.76,49.56,50.052,47.714,28.384,27.352,30.137,0.632,28.444,27.866,28.752,29.049,27.352,0.363,0.009,2.214,0.526,102.33,97.673,108.373,2.942,0.001,0.019,113.927,113.5,114.66,0.305,113.86,113.74,114.145,114.66,113.5,35.957,0.004,35.957,35.955,35.96,35.964,35.95,5696.35,5675.0,5733.0,15.246,5693.0,5687.0,5707.25,5733.0,5675.0,2.3270197718383458e-27
20,11,0.54,0.16,-0.74,49.137,47.858,49.993,0.518,49.27,48.77,49.505,49.993,47.858,28.452,27.215,29.447,0.666,28.553,28.115,28.989,29.447,27.215,0.35,0.009,2.364,0.538,101.317,97.423,108.898,3.147,0.001,0.019,114.058,113.44,114.84,0.395,114.11,113.725,114.27,114.84,113.44,35.96,0.005,35.961,35.957,35.963,35.97,35.95,5702.9,5672.0,5742.0,19.746,5705.5,5686.25,5713.5,5742.0,5672.0,2.1136590447620942e-27
20,12,0.12,1.26,-0.48,48.994,46.875,49.83,0.765,49.061,48.721,49.528,49.83,48.521,28.242,26.59,29.051,0.641,28.303,27.781,28.794,29.051,26.59,0.274,0.006,1.222,0.308,101.761,92.933,107.2,3.124,0.001,0.02,114.053,113.5,114.7,0.323,114.0,113.815,114.345,114.7,113.5,35.955,0.005,35.956,35.953,35.958,35.961,35.947,5702.65,5675.0,5735.0,16.159,5700.0,5690.75,5717.25,5735.0,5675.0,2.5282033768398984e-27
20,13,0.3,0.64,-0.8,49.139,47.552,50.036,0.599,49.352,48.924,49.422,50.036,48.52,28.466,27.316,30.072,0.616,28.425,28.141,28.725,29.433,27.316,0.467,0.024,3.057,0.865,101.942,97.529,107.629,2.847,0.001,0.019,113.891,113.2,114.72,0.429,113.86,113.595,114.225,114.72,113.2,35.956,0.005,35.957,35.95,35.96,35.965,35.947,5694.55,5660.0,5736.0,21.437,5693.0,5679.75,5711.25,5736.0,5660.0,2.1091240737090903e-27
